grassType,AGB_BGB_0_10,NIRveos,spNum,shannon_mean,simpson_dominance_mean,evenness_mean
Mountain meadows,5.589473684,292.4629211,10,1.765057252,0.175,0.99
Temperate steppe,18.4849,266.6695862,11,1.810072136,0.327255443,0.98
Desert steppe,0.995835616,285.9611816,3,0.287899809,0.844834568,0.42
Lowland meadows,3.606612544,265.5400391,7,1.485446735,0.41351185,0.97
Temperate meadow steppe,4.57854949,276.993103,12,1.891852395,0.295833333,0.97
Lowland meadows,11.76390675,278.174469,6,1.147815876,0.324895833,0.97
Lowland meadows,25.37181864,250.3717346,14,2.019122865,0.504166667,0.96
Mountain meadows,6.147100592,265.664856,13,2.131346996,0.146936191,0.96
Mountain meadows,7.227745098,267.1135254,9,1.544479521,0.225,0.96
Mountain meadows,19.62955094,276.7633667,10,1.544479521,0.225,0.96
Temperate steppe,16.70653852,279.3267212,6,1.335085165,0.275,0.96
Lowland meadows,3.360259193,268.3161011,6,1.388723139,0.261385042,0.95
Temperate meadow steppe,6.736076333,270.5031433,10,1.527222751,0.229831401,0.95
Temperate steppe,1.108460007,278.1547852,5,1.090114533,0.364897959,0.62
Temperate steppe,1.086534651,282.5934753,6,1.312357634,0.3275,0.95
Temperate steppe,5.78014039,267.9540405,7,1.122404855,0.410338837,0.94
Temperate meadow steppe,7.007197421,272.9133606,6,1.11247146,0.340646353,0.94
Temperate steppe,8.245614035,273.55896,16,2.362918324,0.1326961,0.94
Temperate meadow steppe,2.624835301,279.4881287,8,1.443534717,0.57,0.94
Mountain meadows,26.78963124,266.1062317,9,1.80474849,0.18,0.93
Mountain meadows,30.32214473,254.927948,11,2.012692644,0.155,0.92
Temperate steppe,11.31164865,275.275177,9,1.487891588,0.25215613,0.92
Temperate steppe,1.242186855,282.178833,4,0.630770283,0.670361631,0.72
Temperate steppe,7.376112041,268.2293701,12,1.996472765,0.1574,0.91
Temperate meadow steppe,6.365629274,288.8542786,7,1.460205995,0.338864782,0.91
Mountain meadows,6.285724457,263.0243225,13,2.16575531,0.1343,0.9
Desert steppe,5.540443495,263.6888123,6,0.863360354,0.357242036,0.9
Temperate meadow steppe,3.69560962,270.2795715,8,1.374742395,0.282015931,0.9
Lowland meadows,10.04283557,272.1042786,6,1.058476892,0.379440207,0.9
Desert steppe,12.94995279,274.3493958,6,1.07927166,0.427777778,0.9
Temperate meadow steppe,8.484439368,279.8971863,13,1.612709703,0.39273084,0.9
Temperate steppe,3.299484185,280.3585205,7,1.253538444,0.533185596,0.9
Temperate meadow steppe,8.374298535,280.5901184,12,1.503165179,0.4388,0.9
Temperate meadow steppe,5.952346751,262.9976807,7,1.239773964,0.458072484,0.89
Lowland meadows,16.88207547,264.7385559,13,2.083341584,0.355103878,0.89
Temperate steppe,6.848905357,264.9522095,6,1.137803061,0.391604938,0.89
Desert steppe,1.522414073,293.9986572,4,0.545926387,0.39,0.69
Mountain meadows,22.75989446,273.4185486,13,1.814732725,0.190933333,0.89
Temperate meadow steppe,7.323063704,276.1279907,9,1.209224404,0.338412698,0.89
Temperate steppe,11.58409177,278.3302612,12,1.790402908,0.200666667,0.89
Temperate meadow steppe,3.786128513,284.1264343,12,1.637923843,0.386666667,0.89
Desert steppe,21.2428927,302.3745117,9,1.527859926,0.236666938,0.89
Temperate steppe,9.953529862,262.9641724,7,1.281113883,0.357722101,0.88
Temperate steppe,9.404401651,263.7711182,9,1.167761833,0.32755731,0.88
Temperate meadow steppe,9.145996166,267.8687134,7,1.183525452,0.368227041,0.88
Temperate steppe,13.47466626,268.6234741,9,1.34519696,0.292700813,0.88
Temperate steppe,14.29080864,272.0007324,8,1.286068681,0.317898715,0.88
Mountain meadows,9.605525419,272.7831421,7,1.424177914,0.340749351,0.88
Temperate steppe,12.68979025,273.2792969,12,1.71366841,0.220075666,0.88
Desert steppe,1.671669069,282.1030579,4,0.258161821,0.865785124,0.37
Lowland meadows,10.24320988,277.2128296,9,1.475906139,0.295023148,0.88
Temperate meadow steppe,1.68178733,286.7333679,5,0.51403924,0.71721145,0.53
Temperate meadow steppe,4.349017038,279.8887024,9,1.21723545,0.4042,0.88
Temperate meadow steppe,0.638454146,281.4692993,6,1.221796494,0.355493998,0.88
Desert steppe,17.69462048,288.0681152,8,1.468201425,0.298792517,0.88
Temperate steppe,11.35243615,259.1544189,13,1.947339128,0.1594,0.87
Temperate meadow steppe,1.786629283,299.0555725,5,0.341703096,0.837488458,0.35
Mountain meadows,8.286747391,274.9493408,11,1.695742534,0.23,0.87
Temperate steppe,23.98236376,276.3945923,6,0.851344848,0.350441337,0.87
Temperate steppe,8.541921632,296.5386353,6,1.039259967,0.429108796,0.87
Desert steppe,2.610963195,262.789978,6,1.193021124,0.378626701,0.86
Lowland meadows,5.295134877,267.5862122,6,0.942948734,0.424338624,0.86
Mountain meadows,17.26635915,271.2809143,9,1.678197682,0.225,0.86
Mountain meadows,5.025835918,278.6726074,14,2.149308529,0.1476,0.86
Temperate steppe,4.905248265,279.3075256,12,1.748099176,0.207666667,0.86
Lowland meadows,3.554925399,281.4386597,7,1.024454392,0.388098595,0.86
Temperate steppe,1.951035091,268.5401611,5,0.872656965,0.500648901,0.73
Temperate steppe,12.61404699,261.7468567,15,2.113465343,0.1026,0.85
Temperate steppe,6.991138362,264.1256714,8,1.106622371,0.378673095,0.85
Temperate steppe,2.387906469,266.2605591,8,1.326281695,0.706080247,0.85
Temperate steppe,5.968827388,274.2941895,12,1.857403265,0.1952,0.85
Lowland meadows,4.178669703,278.5298157,7,1.184054599,0.345,0.85
Lowland meadows,7.620901332,278.6726074,6,1.093838702,0.433225307,0.85
Temperate steppe,4.442835199,292.6401367,15,1.943385209,0.196533333,0.85
Desert steppe,2.495111013,285.6730652,4,0.211476695,0.89668168,0.31
Temperate steppe,18.82175842,296.4739685,7,1.11161885,0.384908797,0.85
Lowland meadows,15.85406739,266.7287292,6,0.992680457,0.431335034,0.84
Desert steppe,14.84544736,271.7585754,7,0.921768753,0.436763117,0.84
Temperate steppe,7.59322673,274.0006714,8,1.344445653,0.377945248,0.84
Desert steppe,2.382997782,279.1961365,7,0.732840484,0.369601121,0.84
Lowland meadows,6.437794187,295.9862976,8,1.005462226,0.406708053,0.84
Temperate steppe,7.08846245,259.1544189,8,1.340991954,0.423378816,0.83
Lowland meadows,4.281858967,262.7718811,9,1.281685268,0.324487307,0.83
Mountain meadows,11.47140593,266.5501709,15,2.062739096,0.1776,0.83
Lowland meadows,18.0099272,267.107605,11,1.490457286,0.328910342,0.83
Temperate steppe,11.986659,271.2364502,6,0.78827854,0.516088154,0.83
Desert steppe,5.364271457,279.7338562,6,1.153788322,0.379233609,0.83
Temperate steppe,12.81093322,282.136261,7,1.063687241,0.396138505,0.83
Mountain meadows,22.74029148,285.7552795,8,1.152268565,0.322407407,0.83
Temperate meadow steppe,7.201541153,295.8568573,13,1.57697552,0.459166667,0.83
Mountain meadows,7.872864897,268.7209167,9,1.31730168,0.311473267,0.82
Temperate steppe,3.447409733,273.1480103,8,1.32479463,0.720050785,0.82
Desert steppe,10.12096212,274.9992065,11,1.572916153,0.180654175,0.82
Temperate steppe,4.228758468,279.891449,6,1.139138488,0.449826389,0.82
Temperate steppe,3.44838403,300.7684326,6,0.984057969,0.433640837,0.82
Desert steppe,5.954700963,261.8663635,6,1.041660537,0.430633609,0.81
Mountain meadows,3.705849599,276.2815247,12,1.569820984,0.2829,0.81
