site,grassType,lat,lon,spNum,n,soc,pr_growing,srad_growing,vpd_growing,tmean_growing,p,soilMoist,soilBD,agb,BGB_0_10,BGB_10_20,BGB_20_30,BGB_0_30,prop_top10,AGB_BGB_0_30,AGB_BGB_0_10,NIRveos
ALT-018,Desert steppe,47.5,86.333333,5,0.058813,0.304168,29.44444444,2338.555556,141.4444444,18.87777778,0.438812,21.66666667,1.7489,36.82,1693.249811,,,,,,45.98723007,241.2160645
ALT-002,Desert steppe,47.566667,86.333333,8,0.054304,0.339617,30.55555556,2333.444444,142.7777778,18.88333333,0.384629,23.44444444,1.641933,10.873333,1655.232113,,,,,,152.2285865,244.229187
ALT-027,Lowland meadows,47.933333,86.3,7,0.026141,0.177077,28.77777778,2351.333333,153.8888889,20.38888889,0.311189,41.88888889,1.347133,40.56,2361.971383,,,,,,58.23400846,245.7263184
ALT-033,Temperate steppe,48.433333,86.716667,9,0.219495,1.903228,36,2297.444444,108.4444444,15.56111111,1.015689,34.77777778,1.509667,34.686667,2811.360078,,,,,,81.05016484,248.4052734
XJYL-P056,Mountain meadows,43.770298,83.639137,13,0.634222,5.917617,54.77777778,2296.111111,47.44444444,10.32777778,1.194565,111.3333333,0.804133,91.666667,1005.82,504.93,373.5,1884.25,167.5529725,20.55545447,10.97258178,289.6095886
ALT-028,Mountain meadows,48.916667,86.833333,8,0.435287,4.519584,43.11111111,2251,75.44444444,11.95555556,1.759337,57.88888889,1.064467,158.836667,1986.66846,,,,,,12.50761866,249.854126
NMG-P142,Temperate meadow steppe,45.6515,119.859889,13,0.281663,3.265252,71.66666667,2255,88.33333333,16.23333333,0.62473,162.2222222,0.98,199.006667,1688.46,100.35,77.95,1866.76,16.55297247,9.380389251,8.484439368,279.8971863
ALT-010,Temperate steppe,47.25,86.333333,7,0.122453,0.891376,36.44444444,2275.555556,123,16.72777778,0.352852,128.6666667,1.4964,27.843333,2115.343748,,,,,,75.97307937,249.9801025
NMG-P197,Lowland meadows,50.594139,120.141028,14,0.399713,4.467289,89.44444444,2005.555556,65.55555556,14.68333333,1.03046,43.55555556,1.19,77.663333,1970.46,171.48,88.34,2230.28,113.5529725,28.71728413,25.37181864,250.3717346
NMG-P080,Temperate steppe,42.906417,114.558333,6,0.056517,0.440909,41.88888889,2411.666667,138,18.85,0.678236,19.22222222,1.57,162.5396,985.6,397.76,307.64,1691,96.55297247,10.40361856,6.063753079,290.4252777
XJYL-P055,Temperate steppe,43.721074,83.919329,14,0.929181,8.980371,51.55555556,2298.444444,53.55555556,11.15,0.31995,11.55555556,0.7755,305.666667,2512.75,593.04,382.17,3487.96,52.55297247,11.41099235,8.220556152,251.0694427
XJYL-P065,Mountain meadows,43.165208,83.925951,12,0.368327,3.315183,71,2161,26.22222222,5.794444444,0.920213,73.55555556,0.497333,68.666667,1657.97,385.83,112.37,2156.17,209.5529725,31.40053383,24.14519406,252.1203003
XJYL-P120,Temperate steppe,42.685694,80.353704,15,0.481186,4.336175,44,2357.666667,114.4444444,15.08333333,0.465213,42.55555556,0.8876,282.166667,1253.62,349.46,273.46,1876.54,55.55297247,6.650466619,4.442835199,292.6401367
XJYL-P072,Mountain meadows,43.150561,84.371512,13,0.445836,3.740666,59.22222222,2220.777778,40.33333333,8.405555556,1.286421,69.33333333,0.992067,167.376667,1181.74,435.32,203.65,1820.71,103.5529725,10.87792004,7.06036284,282.7004089
XJYL-P083,Temperate steppe,43.172552,82.609932,16,0.301066,2.582235,37.44444444,2366.777778,125.1111111,17.95,0.258119,110.5555556,1.009033,130.53,1076.3,666.7,566.46,2309.46,245.5529725,17.69294415,8.245614035,273.55896
XJYL-P137,Mountain meadows,43.207398,81.303211,11,0.588221,5.574751,43.33333333,2343.333333,101.1111111,14.81666667,1.11067,168,0.870167,49.356667,1496.6,651.67,334.21,2482.48,233.5529725,50.2967512,30.32214473,254.927948
ALT-029,Mountain meadows,48.833333,86.916667,8,0.502636,4.623523,40.55555556,2259.333333,69.44444444,11.47222222,0.947852,43.11111111,0.9176,85.166667,3798.845432,,,,,,44.60483856,255.0505829
ALT-184,Mountain meadows,47.133333,90.233333,12,0.374538,3.576232,20.11111111,2215.888889,55.44444444,9.327777778,1.50792,52.77777778,0.904133,81.14,2975.128627,,,,,,36.66660866,255.2542114
XJYL-P007,Mountain meadows,43.476233,81.301039,6,0.396032,3.555614,49.66666667,2289.777778,90.55555556,13.55,1.684046,98.77777778,0.803933,306.666667,1535.28,1097.13,949.13,3581.54,109.5529725,11.67893477,5.006347821,295.5174561
XJYL-P030,Temperate steppe,44.356395,80.457323,7,0.199218,1.686996,31.44444444,2333.111111,166.2222222,19.46666667,0.457633,159.2222222,1.169067,319,1454.71,836.55,623.37,2914.63,89.55297247,9.13677116,4.560219436,295.7294006
NMG-P141,Temperate meadow steppe,45.399139,119.642194,13,0.227507,2.41615,67.66666667,2283.777778,90.44444444,16.37777778,0.810088,52.33333333,1.18,268.63,1934.55,689.52,413.36,3037.43,88.55297247,11.30711387,7.201541153,295.8568573
NMG-P138,Lowland meadows,45.264694,119.970667,6,0.133536,1.224777,69.77777778,2294.666667,94.66666667,17.31111111,0.369424,41,1.37,85.58,717.25,419.43,153.68,1290.36,140.5529725,15.07782192,8.381046974,295.8917389
NMG-P124,Lowland meadows,44.861183,118.592093,8,0.202341,1.948148,54.77777778,2313.111111,99.77777778,17.06111111,0.470145,60,1.27,296.006667,1905.63,181.69,121.9,2209.22,67.55297247,7.463412978,6.437794187,295.9862976
NMG-P167,Temperate steppe,48.722389,119.759222,6,0.172815,1.758259,81.77777778,2066.222222,84,16.46111111,0.384939,42.88888889,1.35,87.146667,744.4,227.05,128.54,1099.99,119.5529725,12.62228422,8.541921632,296.5386353
NMG-P053,Desert steppe,41.952444,110.128222,6,0.152287,1.155347,42,2439.666667,144.7777778,18.69444444,0.421082,18.66666667,1.62,125.47,1510.75,809.97,552.31,2873.03,260.5529725,22.89814298,12.04072687,296.5585938
ALT-022,Temperate steppe,47.266667,85.883333,7,0.176861,1.44913,43.33333333,2264.333333,116.4444444,16.08333333,0.259015,39.77777778,1.3628,49.956667,2369.769886,,,,,,47.43650904,256.7914429
ALT-098,Mountain meadows,47.966667,88.866667,6,0.261483,2.40843,23.55555556,2203.888889,42.66666667,6.888888889,1.193215,109,0.8514,133.423333,1995.441775,,,,,,14.95571824,257.3965454
NMG-P178,Temperate steppe,48.770639,116.808833,7,0.167906,1.349772,47.22222222,2182.555556,106.7777778,18.00555556,0.674666,48.22222222,1.36,265.436667,731.4,375.23,189.78,1296.41,32.55297247,4.884065245,2.755459554,307.8469849
ALT-198,Desert steppe,46.15,90.95,4,0.031755,0.179796,12,2349.222222,136.2222222,17.83888889,0.882692,17.55555556,1.6478,2.6872,342.080988,,,,,,127.3001593,258.0202026
NMG-P135,Temperate meadow steppe,46.271694,122.236972,6,0.136725,1.343041,93.44444444,2233.888889,98.22222222,19.27777778,0.452362,164.1111111,1.31,96.173333,1213.22,1010.44,465.07,2688.73,199.5529725,27.95712612,12.61493142,258.4306335
ALT-093,Mountain meadows,47.95,88.4,6,0.395477,4.180645,30.22222222,2177.888889,45.55555556,6.938888889,0.892461,70.55555556,0.778133,72.723333,2160.835012,,,,,,29.71309101,258.520874
XJYL-P003,Temperate steppe,43.518493,81.125534,9,0.270324,2.430751,36.44444444,2339.222222,158.3333333,19.40555556,0.934138,28.22222222,1.088667,202.296667,1287.75,567.33,424.05,2279.13,107.5529725,11.26627558,6.365651096,298.6071167
XJYL-P140,Mountain meadows,43.074943,80.645597,14,0.827037,7.723635,49.33333333,2311.333333,93.22222222,13.52222222,1.15238,334.5555556,0.6982,358.286667,1800.69,884.68,594.33,3279.7,68.55297247,9.153843283,5.025835918,278.6726074
XJYL-P037,Temperate meadow steppe,43.960341,82.363197,7,0.261002,2.333166,46.11111111,2325.888889,126.6666667,17.49444444,0.698912,132.1111111,1.215333,137.756667,1148.23,448.03,285.11,1881.37,132.5529725,13.65719744,8.335204568,259.0048218
NMG-P183,Temperate steppe,47.994361,117.586333,8,0.127647,1.022198,48.77777778,2174.444444,106,17.95555556,0.292064,6.111111111,1.52,264.556667,1875.3,584.66,298.68,2758.64,97.55297247,10.42740684,7.08846245,259.1544189
XJYL-P128,Temperate steppe,42.912737,81.284295,13,0.674113,6.221623,36.11111111,2392.333333,121.6666667,16.73333333,0.24039,11.22222222,0.923467,93.18,1057.82,530.64,476.05,2064.51,174.5529725,22.15614939,11.35243615,259.1544189
ALT-097,Mountain meadows,48.05,88.933333,7,0.481205,4.549411,21,2216.888889,47.77777778,7.85,1.523131,69.33333333,0.956833,201.333333,1479.440873,,,,,,7.348216269,259.2810059
ALT-096,Mountain meadows,48.05,88.933333,7,0.648927,6.15342,21,2216.888889,47.77777778,7.85,1.215072,73.55555556,0.718367,192.07,2481.873356,,,,,,12.92171269,259.2810059
XJYL-P054,Mountain meadows,43.666893,84.280206,14,0.919208,8.648913,62.22222222,2234.555556,42.77777778,8.238888889,0.651434,31.88888889,0.761633,369.666667,2804.79,764.07,100.2,3669.06,41.55297247,9.925320099,7.587348956,259.7523499
NMG-P191,Temperate meadow steppe,49.58925,119.716,11,0.298146,3.166343,83.77777778,2056.888889,74.44444444,15.57222222,0.315973,52.22222222,1.04,75.816667,1676.85,545.66,511,2733.51,218.5529725,36.05420956,22.11716851,260.1309814
NMG-P065,Temperate steppe,41.665278,112.107083,4,0.171434,1.469674,48.55555556,2422.444444,116,16.55,0.374278,22.22222222,1.53,340.813333,1027.26,340.04,188.37,1555.67,230.5529725,4.564580811,3.014142642,280.2018433
ALT-034,Temperate steppe,48.283333,86.733333,8,0.225062,2.249797,34.22222222,2305.333333,120.2222222,16.77222222,2.183685,42.22222222,1.281933,65.416667,4272.604446,,,,,,65.3136982,260.4121094
XJYL-P034,Temperate steppe,43.97073,82.041172,13,0.150781,1.32812,35.88888889,2357.777778,154.8888889,19.87777778,1.146012,21.66666667,1.172033,137.6,1685.57,513.47,200.71,2399.75,153.5529725,17.4400436,12.24978198,260.4244995
