EOS,Ratio,Diversity,SM,SOC,Soil_N,Precipitation,BD,VPD,SRAD,Temperature,grassType,biomass,climate,soil,pc1_clim,pc2_clim,pc1_soil,pc2_soil
-0.028941068,-0.770774145,-2.148918286,-0.471806972,1.3458 ,0.960 ,0.827434588,-0.535 ,0.32177299,-0.515553769,0.814177039,Lowland meadows,-0.770774145,1.447830848,-1.843040495,-0.006321196,1.264508326,-1.494760164,0.038874653
1.583768854,-0.819248546,-2.148918286,-0.335262206,1.3644 ,0.558 ,-0.638272691,-0.103 ,1.554648152,1.147202277,1.350455033,Desert steppe,-0.819248546,3.414032771,-1.454810492,-2.410876307,0.372083805,-0.840564293,0.080481496
-0.181612486,-0.629288819,-1.802243676,0.257022879,1.4762 ,1.402 ,-0.56898471,-0.217 ,1.319956256,0.930710926,1.056604078,Desert steppe,-0.629288819,2.73828655,-0.838390135,-1.990431745,0.25235103,-0.312265371,-0.391534592
-0.081563545,-0.770774145,-1.802243676,-0.555152478,1.4562 ,0.957 ,0.358408259,-0.172 ,1.064468872,1.220220065,1.07570439,Lowland meadows,-0.770774145,3.718801585,-1.59682265,-1.631552577,0.878469489,-1.700057423,0.08513534
0.153927531,-0.777363034,-1.802243676,-0.611898354,0.8316 ,0.818 ,0.550282666,-0.184 ,0.764419736,0.688599299,0.861193193,Desert steppe,-0.777363034,2.864494894,-1.376874788,-1.005130868,0.94367138,-1.572788793,0.188549551
0.26392776,-0.76180131,-1.802243676,-0.315755811,1.3871 ,0.296 ,-0.696900982,0.673 ,1.495232482,0.889718476,1.106558741,Desert steppe,-0.76180131,2.794608718,-0.326486107,-2.146670399,0.22490991,-0.830907455,0.109111167
0.413343361,-0.716481078,-1.802243676,-0.712976946,1.2090 ,-0.154 ,-0.334471545,-0.153 ,0.91890048,1.259931491,0.651089758,Temperate steppe,-0.716481078,2.495450184,-0.222255357,-1.628652514,0.062602221,-0.854864794,0.532968573
0.566805474,-0.822687573,-1.802243676,-0.542739317,1.8477 ,0.901 ,1.344429519,-0.798 ,0.185116948,0.490042148,1.01399569,Temperate steppe,-0.822687573,3.033584305,-1.493551474,-0.332349993,1.56418318,-1.563996814,0.111146013
0.618515438,-0.46580315,-1.802243676,-0.20049075,0.8471 ,0.874 ,-0.910094768,-0.405 ,0.639646827,0.519505461,0.698105912,Desert steppe,-0.46580315,0.947163433,-0.516427098,-1.344417209,-0.280122928,-1.774778729,-0.269862364
0.790830309,-0.76178915,-1.802243676,-0.767949514,1.5633 ,-0.468 ,-0.56898471,-0.566 ,1.370459574,1.909405544,0.952286988,Desert steppe,-0.76178915,3.663167395,-1.233071529,-2.462724165,0.022556982,-1.097019603,0.486866535
-0.555380712,-0.686949694,-1.455569066,-0.560472403,1.4905 ,-0.435 ,0.880733034,-0.819 ,0.42277963,1.161293427,0.517387575,Temperate steppe,-0.686949694,2.982193667,-0.666497392,-0.743321552,0.849045568,-1.113747871,0.283260065
-0.540412795,-0.128630472,-1.455569066,-0.730710033,1.9285 ,0.860 ,-1.235215291,-0.347 ,1.845784938,0.81285765,1.125659052,Desert steppe,-0.128630472,2.549086349,-2.171844102,-2.533066147,-0.096343608,-1.400633063,0.328190832
-0.50111814,-0.485916119,-1.455569066,-0.688150625,1.7525 ,0.727 ,-0.27051341,-0.023 ,1.233803532,1.605805243,0.830338842,Desert steppe,-0.485916119,3.399434206,-1.144321021,-2.050392527,0.214486264,-1.571017918,0.280641514
-0.345728002,-0.257784302,-1.455569066,-0.744896502,1.7607 ,0.752 ,-0.71822036,-0.261 ,0.91890048,1.521258329,0.677536344,Desert steppe,-0.257784302,2.399474794,-0.997143582,-1.926461498,-0.270017636,-1.731576279,0.305607812
-0.255637005,-0.674879134,-1.455569066,-0.744896502,0.8122 ,0.812 ,-0.654262225,-0.446 ,0.859484808,1.431587354,0.618766154,Desert steppe,-0.674879134,2.255576091,-1.923287155,-1.79182366,-0.248925899,-1.363801575,0.362760167
-0.24397142,-0.645423549,-1.455569066,0.074372089,1.5069 ,-0.401 ,-0.238534342,-0.887 ,1.141709244,1.870975119,0.824461823,Temperate steppe,-0.645423549,3.598611844,0.053784288,-2.115909611,0.16765098,-0.963467565,-0.32790901
0.14015563,-0.41693778,-1.455569066,-0.381368231,0.8305 ,0.868 ,-1.283183893,-0.508 ,1.008023985,0.575870074,0.655497524,Desert steppe,-0.41693778,0.956207689,-1.572061493,-1.712000784,-0.528338731,-1.338035801,-0.006134073
0.424703292,-0.827299664,-1.455569066,-0.744896502,1.6221 ,0.560 ,-0.526345953,-0.718 ,1.070410438,1.458488654,0.798015237,Desert steppe,-0.827299664,2.800568376,-1.209197475,-1.966665019,-0.009661056,-1.256522885,0.421202894
0.458951433,-0.54511159,-1.455569066,-0.305115959,1.3860 ,-0.290 ,-0.542335487,-0.059 ,1.625946958,1.026786964,1.382778638,Desert steppe,-0.54511159,3.493177072,-1.040358943,-2.369266063,0.502194036,-0.436995988,0.170672093
0.736225541,-0.160070561,-1.455569066,-0.264329861,1.6815 ,0.668 ,-1.192576534,-0.853 ,0.901075778,0.533596612,0.652559014,Desert steppe,-0.160070561,0.89465487,-0.76048869,-1.591476746,-0.473854242,-1.289965615,-0.084711054
0.92541088,-0.300218189,-1.455569066,-0.296249416,1.6427 ,-0.511 ,-1.267194359,-0.380 ,0.770361303,0.71165755,0.44245558,Desert steppe,-0.300218189,0.657280073,-1.069647518,-1.530059765,-0.710263183,-0.9375531,0.029673065
1.069047949,-0.575590124,-1.455569066,-0.423927638,0.8338 ,0.831 ,-1.208566068,-0.697 ,1.076352005,0.624548599,0.762753123,Desert steppe,-0.575590124,1.255087659,-1.391656606,-1.800483092,-0.404788597,-1.430184413,0.023406972
1.123353711,-0.406089837,-1.455569066,-0.071039219,1.6459 ,-0.637 ,-1.165927311,-0.750 ,0.823835406,0.490042148,0.655497524,Desert steppe,-0.406089837,0.803447767,-0.60433472,-1.515762346,-0.459460913,-1.143990056,-0.24747525
1.154780133,0.510451114,-1.455569066,-0.393781391,0.8030 ,0.814 ,-1.240545136,-0.419 ,0.963462231,0.709095524,0.609950626,Desert steppe,0.510451114,1.041963246,-1.591734719,-1.713928167,-0.554728194,-1.247881114,0.030136502
1.216955239,-0.555813303,-1.455569066,-0.556925786,0.8838 ,0.918 ,-1.10729902,-1.258 ,0.942666746,0.527191548,0.720144732,Desert steppe,-0.555813303,1.082704007,-1.100227234,-1.612440104,-0.359617484,-1.841451738,0.070599721
1.469214901,-0.125046764,-1.455569066,-0.544512626,1.6906 ,-0.687 ,-0.808827719,-1.319 ,1.070410438,0.237682409,0.837685116,Desert steppe,-0.125046764,1.336950244,-0.602385051,-1.480355475,0.019280344,-1.62994718,0.133646378
1.569682446,-0.478258462,-1.455569066,-0.386688157,0.8262 ,0.855 ,-1.187246689,-1.285 ,1.04664417,0.661698011,0.859723937,Desert steppe,-0.478258462,1.380819428,-0.782771349,-1.842512436,-0.346830963,-1.73983942,-0.072169592
2.089284864,-0.269457211,-1.455569066,-0.209357293,1.7293 ,-0.709 ,-1.155267622,-1.134 ,0.574289591,0.605333399,0.570280747,Desert steppe,-0.269457211,0.594636115,-0.51365635,-1.383037698,-0.572442364,-1.473737439,-0.181242624
2.787574261,-0.386160889,-1.455569066,-0.649137835,1.7057 ,-0.545 ,-0.94740368,-0.140 ,1.213008049,0.35809771,1.018403453,Desert steppe,-0.386160889,1.642105532,-1.760111115,-1.769528275,0.020162371,-0.963562799,0.372819962
-1.603141498,7.412646373,-1.108894456,-0.549832551,1.8918 ,0.915 ,-1.368461407,-0.084 ,0.428721197,0.461859836,0.18974376,Desert steppe,7.412646373,-0.288136615,-1.273578534,-1.119364435,-0.95587257,-1.75056935,0.079550718
-0.533139249,-0.635696661,-1.108894456,-0.691697243,1.6727 ,-0.661 ,-0.382440147,-1.023 ,1.266482153,1.788990231,0.883232013,Lowland meadows,-0.635696661,3.55626425,-1.002712504,-2.233022887,0.129786493,-1.489671995,0.311455663
-0.350844292,-0.692283544,-1.108894456,-0.658004378,1.6190 ,-0.629 ,1.658890353,0.412 ,-0.100078271,0.513100398,0.429232287,Temperate steppe,-0.692283544,2.501144767,-1.493666687,0.239552401,1.417090355,-1.108086796,0.354148462
-0.310166468,-0.603566971,-1.108894456,-0.74666981,1.6306 ,-0.593 ,-0.446398283,1.023 ,1.055556522,1.445678516,0.756876102,Desert steppe,-0.603566971,2.811712857,-0.946868026,-1.899201426,0.028802171,-1.442102032,0.385422805
-0.216638032,0.087193584,-1.108894456,-0.642044601,1.8884 ,-0.913 ,0.262471055,1.057 ,0.476253734,0.79492345,0.48800248,Desert steppe,0.087193584,2.021650719,-1.386242968,-0.818967268,0.43011703,-1.758748816,0.171611241
0.006713494,-0.695627679,-1.108894456,-0.475353589,-0.1562 ,-0.135 ,0.385057482,0.684 ,-0.111961404,1.306047991,-0.151123348,Temperate steppe,-0.695627679,1.428020721,-0.083266441,-0.368106847,-0.050784743,-0.658760367,0.334729995
0.029016973,-0.673481026,-1.108894456,-0.331715589,1.3246 ,-0.288 ,-0.323811856,0.616 ,-0.037691815,0.109581021,0.289653085,Temperate steppe,-0.673481026,0.037730434,-0.328867471,-0.307928708,-0.117832625,-0.765219457,0.142753358
